column_names,class_type,var_type
Id,i,d
MSSubClass,f,d
MSZoning,f,d
LotFrontage,i,c
LotArea,i,c
Street,f,d
Alley,f,d
LotShape,f,d
LandContour,f,d
Utilities,f,d
LotConfig,f,d
LandSlope,f,d
Neighborhood,f,d
Condition1,f,d
Condition2,f,d
BldgType,f,d
HouseStyle,f,d
OverallQual,f,d
OverallCond,f,d
YearBuilt,f,d
YearRemodAdd,f,d
RoofStyle,f,d
RoofMatl,f,d
Exterior1st,f,d
Exterior2nd,f,d
MasVnrType,f,d
MasVnrArea,i,c
ExterQual,f,d
ExterCond,f,d
Foundation,f,d
BsmtQual,f,d
BsmtCond,f,d
BsmtExposure,f,d
BsmtFinType1,f,d
BsmtFinSF1,i,c
BsmtFinType2,f,d
BsmtFinSF2,i,c
BsmtUnfSF,i,c
TotalBsmtSF,i,c
Heating,f,d
HeatingQC,f,d
CentralAir,f,d
Electrical,f,d
1stFlrSF,i,c
2ndFlrSF,i,c
LowQualFinSF,i,c
GrLivArea,i,c
BsmtFullBath,i,d
BsmtHalfBath,i,d
FullBath,i,d
HalfBath,i,d
BedroomAbvGr,i,d
KitchenAbvGr,i,d
KitchenQual,f,d
TotRmsAbvGrd,i,d
Functional,f,d
Fireplaces,i,d
FireplaceQu,f,d
GarageType,f,d
GarageYrBlt,f,d
GarageFinish,f,d
GarageCars,i,d
GarageArea,i,c
GarageQual,f,d
GarageCond,f,d
PavedDrive,f,d
WoodDeckSF,i,c
OpenPorchSF,i,c
EnclosedPorch,i,c
3SsnPorch,i,c
ScreenPorch,i,c
PoolArea,i,c
PoolQC,f,d
Fence,f,d
MiscFeature,f,d
MiscVal,i,c
MoSold,f,d
YrSold,f,d
SaleType,f,d
SaleCondition,f,d
SalePrice,i,c
